-45.395087	-22.930359	-21.095850	0.020588	0.018506	0.018267
-39.144606	2.570382	-14.190384	0.021324	0.020293	0.020331
-38.424725	-12.208511	-52.042438	0.048075	0.018821	0.020195
-11.273750	-8.605550	-75.425591	1.344701	0.156275	0.249572
-12.499116	-73.720802	-73.831667	1.390883	0.252111	0.254297
23.115320	-15.344152	-69.961639	1.223843	0.183759	0.321691
-40.469687	-25.631453	-53.634041	1.256792	0.107294	0.397582
-18.062905	-14.466977	-57.818529	1.268172	0.213320	0.212129
-17.614342	-70.068062	-84.259884	1.135595	0.117648	0.250264
-17.417291	-49.619530	-64.424635	1.305285	0.286741	0.271986
-40.726177	-55.777023	-48.646530	1.377488	0.050124	0.133402
-52.878431	-50.832849	-31.045935	1.234580	0.158803	0.118871
-53.048019	3.735044	-52.486466	1.466928	0.077436	0.144380
-60.248158	40.373264	-27.401003	1.270218	0.051022	0.286675
-80.764784	58.927501	-96.405684	1.278583	0.269189	0.343613
-53.173923	36.000676	38.446069	1.287738	0.263934	0.175525
-293.253784	308.465356	920.828067	1.241495	0.129216	0.269766
